id,exercicio,variacao,busca,arquivo,score,status
838,Supino,Supino Pegada,Supino Supino Pegada,PEITORAL/Supino declinado pegada martelo.gif,0.6667,SEM_MATCH
839,Outros,Mergulho De Peito,Outros Mergulho De Peito,PEITORAL/Mergulho de peito assistido.gif,0.6667,SEM_MATCH
840,Supino,Supino Inclinado Na Máquina Com Pegada,Supino Supino Inclinado Na Máquina Com Pegada,PEITORAL/Supino Inclinado na Máquina com Pegada Martelo.gif,0.8352,SEM_MATCH
841,Supino,Supino Inclinado,Supino Supino Inclinado,PEITORAL/Supino inclinado com cabo.gif,0.6667,SEM_MATCH
846,Supino,Supino Invertido Com Pegada,Supino Supino Invertido Com Pegada,PEITORAL/Supino invertido com pegada aberta.gif,0.7941,SEM_MATCH
847,Supino,Supino Unilateral,Supino Supino Unilateral,PEITORAL/Supino unilateral com Alavanca.gif,0.6296,SEM_MATCH
849,Supino,Supino Declinado Pegada,Supino Supino Declinado Pegada,PEITORAL/Supino declinado pegada martelo.gif,0.7541,SEM_MATCH
851,Cross Over,Crossover,Cross Over Crossover,PEITORAL/Cross over polia Alta.gif,0.5854,SEM_MATCH
852,Supino,Supino Declinado Unilateral Pegada Martelo,Supino Supino Declinado Unilateral Pegada Martelo,PEITORAL/Supino Declinado Unilateral Pegada Martelo com Haltere.gif,0.8155,SEM_MATCH
854,Crucifixo,Crucifixo Com Cabo,Crucifixo Crucifixo Com Cabo,PEITORAL/Crucifixo Deitado com Cabo.gif,0.7778,SEM_MATCH
857,Supino,Supino Declinado,Supino Supino Declinado,PEITORAL/Supino inclinado com cabo.gif,0.6667,SEM_MATCH
858,Supino,Supino Unilateral Com Halteres Com Pegada,Supino Supino Unilateral Com Halteres Com Pegada,PEITORAL/Supino Unilateral com Halteres com Pegada Reversa.gif,0.8454,SEM_MATCH
859,Supino,Supino Inclinado Com Pegada,Supino Supino Inclinado Com Pegada,PEITORAL/Supino inclinado com pegada fechada.gif,0.7826,SEM_MATCH
860,Puxada,Puxada Alta Com Um Joelho,Puxada Puxada Alta Com Um Joelho,COSTAS/Puxada Alta com Um Joelho Apoiado.gif,0.7692,SEM_MATCH
864,Remada,Remada T Invertida,Remada Remada T Invertida,COSTAS/Remada Invertida.gif,0.7805,SEM_MATCH
865,Outros,Pullover Na Máquina,Outros Pullover Na Máquina,GLÚTEOS/Glúteo Coice Na Máquina.gif,0.6939,SEM_MATCH
867,Remada,Remada,Remada Remada,OMBROS/Remada Alta (1).gif,0.6923,SEM_MATCH
871,Remada,Remada T,Remada Remada T,OMBROS/Remada Alta (1).gif,0.7143,SEM_MATCH
872,Outros,Pullover Com Barra W Pegada,Outros Pullover Com Barra W Pegada,COSTAS/Pullover com Barra W Pegada invertida.gif,0.7606,SEM_MATCH
878,Puxada,Puxada Na Polia Alta Com Pegada,Puxada Puxada Na Polia Alta Com Pegada,COSTAS/Puxada na Polia Alta com Pegada Fechada.gif,0.8052,SEM_MATCH
880,Outros,Pullover Com Barra No Banco,Outros Pullover Com Barra No Banco,COSTAS/Pullover com barra no banco declinado.gif,0.7606,SEM_MATCH
881,Puxada,Puxada Alta Unilateral Alta,Puxada Puxada Alta Unilateral Alta,COSTAS/Puxada alta unilateral alta ajoelhada.gif,0.7606,SEM_MATCH
882,Agachamento,Agachamento Com Salto Usando Barra,Agachamento Agachamento Com Salto Usando Barra,PERNAS/Agachamento com Salto usando Barra Hexagonal.gif,0.7556,SEM_MATCH
883,Outros,Flexão De Pernas Na Bola,Outros Flexão De Pernas Na Bola,GIFS CALISTENIA/Flexão de pernas com toalha.gif,0.6897,SEM_MATCH
891,Outros,Avanço Invertido,Outros Avanço Invertido,GIFS ABDOMINAIS/Prancha Invertida.gif,0.65,SEM_MATCH
892,Agachamento,Agachamento Goblet,Agachamento Agachamento Goblet,PERNAS/Agachamento com Cinto.gif,0.6667,SEM_MATCH
895,Outros,Elevação De Perna Em Pé,Outros Elevação De Perna Em Pé,GIFS TREINAMENTO FUNCIONAL/Elevação de panturrilha em pé.gif,0.7119,SEM_MATCH
897,Outros,Elevação De Joelho,Outros Elevação De Joelho,GIFS TREINAMENTO FUNCIONAL/Subida no Step com Elevação de Joelhos.gif,0.6984,SEM_MATCH
899,Outros,Stiff Unilateral,Outros Stiff Unilateral,PERNAS/Stiff Unilateral com Barra.gif,0.6531,SEM_MATCH
900,Outros,Elevação Com Barra Em,Outros Elevação Com Barra Em,PERNAS/Elevação com Barra em Degrau.gif,0.75,SEM_MATCH
901,Outros,Extensão De Perna,Outros Extensão De Perna,PERNAS/Extensão de Perna Unilateral.gif,0.6538,SEM_MATCH
902,Outros,Wall Sit,Outros Wall Sit,GIFS TREINAMENTO FUNCIONAL/Wall Sit.gif,0.6957,SEM_MATCH
904,Outros,Subida No Step Com Elevação,Outros Subida No Step Com Elevação,GIFS TREINAMENTO FUNCIONAL/Subida no Step com Elevação de Joelhos.gif,0.75,SEM_MATCH
905,Outros,Afundo,Outros Afundo,GLÚTEOS/Quatro Apoios.gif,0.5385,SEM_MATCH
906,Outros,Flexão De Pernas,Outros Flexão De Pernas,GIFS ABDOMINAIS/Tesoura de Pernas.gif,0.7,SEM_MATCH
907,Leg Press,Leg Press,Leg Press Leg Press,PERNAS/Leg Press Horizontal.gif,0.5641,SEM_MATCH
908,Outros,Flexão De Pernas Com Halteres,Outros Flexão De Pernas Com Halteres,PERNAS/Flexão de Pernas com Halteres Declinado.gif,0.7733,SEM_MATCH
910,Agachamento,Agachamento Unilateral Cruzado,Agachamento Agachamento Unilateral Cruzado,PERNAS/Agachamento unilateral cruzado com haltere.gif,0.7143,SEM_MATCH
911,Outros,Pressão Unilateral Assistida Por,Outros Pressão Unilateral Assistida Por,PERNAS/Pressão Unilateral Assistida por Alavanca.gif,0.8,SEM_MATCH
916,Tríceps Francês,Tríceps Francês,Tríceps Francês Tríceps Francês,TRÍCEPS/Tríceps Francês com Halteres.gif,0.678,SEM_MATCH
917,Tríceps,Extensão De Tríceps Com Cabo Em Posição,Tríceps Extensão De Tríceps Com Cabo Em Posição,TRÍCEPS/Extensão de Tríceps com Cabo em Posição Ajoelhada.gif,0.8125,SEM_MATCH
923,Tríceps,Extensão De Tríceps Com Cabo,Tríceps Extensão De Tríceps Com Cabo,TRÍCEPS/Extensão de tríceps lateral com cabo.gif,0.7778,SEM_MATCH
924,Tríceps Francês,Tríceps Francês Alternada Com Halteres No Banco,Tríceps Francês Tríceps Francês Alternada Com Halteres No Banco,TRÍCEPS/Tríceps Francês Alternada com Halteres no Banco Inclinado.gif,0.7833,SEM_MATCH
925,Outros,Extensão Concentrada Com Cabo,Outros Extensão Concentrada Com Cabo,TRÍCEPS/Extensão Concentrada com Cabo no Joelho.gif,0.7733,SEM_MATCH
928,Tríceps Francês,Tríceps Francês Com Halter,Tríceps Francês Tríceps Francês Com Halter,TRÍCEPS/Tríceps Francês com Halteres.gif,0.7429,SEM_MATCH
929,Tríceps,Extensão De Tríceps Invertida,Tríceps Extensão De Tríceps Invertida,TRÍCEPS/Extensão de tríceps com pegada invertida.gif,0.7532,SEM_MATCH
930,Tríceps,Extensão De Tríceps Com Barra W,Tríceps Extensão De Tríceps Com Barra W,TRÍCEPS/Extensão de tríceps com barra em pé.gif,0.8108,SEM_MATCH
935,Tríceps Testa,Tríceps Testa Pegada Neutra,Tríceps Testa Tríceps Testa Pegada Neutra,TRÍCEPS/Tríceps Testa com Barra Pegada Invertida.gif,0.6914,SEM_MATCH
936,Tríceps Testa,Tríceps Testa Com Barra Pegada,Tríceps Testa Tríceps Testa Com Barra Pegada,TRÍCEPS/Tríceps Testa com Barra Pegada Invertida.gif,0.7143,SEM_MATCH
937,Tríceps,Tríceps Pulley Pegada,Tríceps Tríceps Pulley Pegada,TRÍCEPS/Tríceps pulley pegada invertida.gif,0.7,SEM_MATCH
938,Supino,Supino,Supino Supino,TRÍCEPS/Supino Fechado.gif,0.5926,SEM_MATCH
942,Tríceps Testa,Extensão De Tríceps Testa Declinado,Tríceps Testa Extensão De Tríceps Testa Declinado,TRÍCEPS/Extensão de Tríceps Testa Declinado Fechado.gif,0.7609,SEM_MATCH
943,Tríceps Testa,Tríceps Testa Com Banco Declinado,Tríceps Testa Tríceps Testa Com Banco Declinado,TRÍCEPS/Tríceps Testa com Banco Declinado com Halteres.gif,0.7097,SEM_MATCH
944,Tríceps,Extensão De Tríceps Com Pegada,Tríceps Extensão De Tríceps Com Pegada,TRÍCEPS/Extensão de tríceps com pegada invertida.gif,0.7692,SEM_MATCH
946,Tríceps Francês,Tríceps Francês Com Barra W Acima Da Cabeça,Tríceps Francês Tríceps Francês Com Barra W Acima Da Cabeça,TRÍCEPS/Tríceps francês com barra W acima da cabeça sentado.gif,0.7818,SEM_MATCH
947,Tríceps,Extensão De Tríceps Com Cabo Na Posição,Tríceps Extensão De Tríceps Com Cabo Na Posição,TRÍCEPS/Extensão de tríceps com cabo na posição horizontal.gif,0.8041,SEM_MATCH
948,Tríceps,Extensão De Tríceps Na Máquina Pegada,Tríceps Extensão De Tríceps Na Máquina Pegada,TRÍCEPS/Extensão de tríceps na máquina pegada neutra.gif,0.8315,SEM_MATCH
949,Tríceps Francês,Tríceps Francês No Banco Inclinado,Tríceps Francês Tríceps Francês No Banco Inclinado,TRÍCEPS/Tríceps Francês Alternada com Halteres no Banco Inclinado.gif,0.785,SEM_MATCH
950,Tríceps,Extensão De Tríceps No Cabo,Tríceps Extensão De Tríceps No Cabo,TRÍCEPS/Extensão de tríceps no cabo alto.gif,0.806,SEM_MATCH
953,Elevação Lateral,Elevação Lateral Unilateral,Elevação Lateral Elevação Lateral Unilateral,OMBROS/Elevação lateral unilateral com cabo.gif,0.675,SEM_MATCH
954,Remada,Remada De Deltoide Posterior Sentado,Remada Remada De Deltoide Posterior Sentado,OMBROS/Remada de deltoide posterior sentado com haltere.gif,0.7912,SEM_MATCH
955,Elevação Lateral,Elevação Lateral Com Braço,Elevação Lateral Elevação Lateral Com Braço,OMBROS/Elevação lateral unilateral com cabo.gif,0.7848,SEM_MATCH
956,Desenvolvimento,Desenvolvimento De Ombros Com Barra W Com Pegada,Desenvolvimento Desenvolvimento De Ombros Com Barra W Com Pegada,OMBROS/Desenvolvimento de ombros com barra W com pegada invertida.gif,0.7869,SEM_MATCH
958,Desenvolvimento,Desenvolvimento Cubano Sentado,Desenvolvimento Desenvolvimento Cubano Sentado,OMBROS/Desenvolvimento de ombro com barra sentado.gif,0.75,SEM_MATCH
960,Remada,Remada Inversa Com Cabos,Remada Remada Inversa Com Cabos,OMBROS/Remada inversa com cabos deitado.gif,0.7619,SEM_MATCH
962,Elevação Lateral,Elevação Lateral De Halteres,Elevação Lateral Elevação Lateral De Halteres,OMBROS/Elevação lateral unilateral com halteres.gif,0.8,SEM_MATCH
963,Elevação Lateral,Elevação Lateral Alternada,Elevação Lateral Elevação Lateral Alternada,OMBROS/Elevação lateral unilateral com halteres.gif,0.7229,SEM_MATCH
965,Elevação Lateral,Elevação Lateral Cruzada,Elevação Lateral Elevação Lateral Cruzada,OMBROS/Elevação lateral unilateral com cabo.gif,0.7013,SEM_MATCH
966,Remada,Remada Lateral Com Halteres,Remada Remada Lateral Com Halteres,OMBROS/Remada lateral com halteres sentado.gif,0.7826,SEM_MATCH
967,Desenvolvimento,Desenvolvimento Militar Com Pegada,Desenvolvimento Desenvolvimento Militar Com Pegada,OMBROS/Desenvolvimento militar com pegada fechada.gif,0.7391,SEM_MATCH
970,Desenvolvimento,Desenvolvimento Militar Com Barra No Chão,Desenvolvimento Desenvolvimento Militar Com Barra No Chão,OMBROS/Desenvolvimento militar com barra no chão ajoelhado.gif,0.7593,SEM_MATCH
971,Elevação Lateral,Elevação Lateral E Frontal,Elevação Lateral Elevação Lateral E Frontal,OMBROS/Elevação lateral unilateral com cabo.gif,0.6835,SEM_MATCH
973,Elevação Lateral,Elevação Lateral Unilateral Com Haltere,Elevação Lateral Elevação Lateral Unilateral Com Haltere,OMBROS/Elevação lateral unilateral com halteres.gif,0.8125,SEM_MATCH
974,Elevação Lateral,Elevação Lateral De Braços,Elevação Lateral Elevação Lateral De Braços,OMBROS/Elevação lateral unilateral com cabo.gif,0.6835,SEM_MATCH
978,Outros,Elevação Frontal Com Barra,Outros Elevação Frontal Com Barra,OMBROS/Elevação frontal com barra girando.gif,0.7761,SEM_MATCH
984,Outros,Elevação Frontal Com Barra W,Outros Elevação Frontal Com Barra W,OMBROS/Elevação frontal com barra girando.gif,0.7826,SEM_MATCH
988,Outros,Elevação Frontal,Outros Elevação Frontal,OMBROS/Elevação frontal com halteres.gif,0.6154,SEM_MATCH
991,Elevação Lateral,Elevação Lateral,Elevação Lateral Elevação Lateral,OMBROS/Elevação lateral deitado.gif,0.7018,SEM_MATCH
993,Desenvolvimento,Desenvolvimento De Ombro Com Barra,Desenvolvimento Desenvolvimento De Ombro Com Barra,OMBROS/Desenvolvimento de ombro com barra sentado.gif,0.7391,SEM_MATCH
994,Remada,Remada Com Halteres Para A Posterior,Remada Remada Com Halteres Para A Posterior,OMBROS/Remada com halteres para a posterior de ombros.gif,0.809,SEM_MATCH
995,Desenvolvimento,Desenvolvimento De Ombro,Desenvolvimento Desenvolvimento De Ombro,OMBROS/Desenvolvimento arnold com um braço.gif,0.6667,SEM_MATCH
996,Desenvolvimento,Desenvolvimento De Ombros Com Rotação Alternada,Desenvolvimento Desenvolvimento De Ombros Com Rotação Alternada,OMBROS/Desenvolvimento de Ombros com Rotação Alternada com Halteres.gif,0.7642,SEM_MATCH
997,Outros,Elevação Frontal Alternada,Outros Elevação Frontal Alternada,OMBROS/Elevação Frontal Alternada Com Halteres.gif,0.7222,SEM_MATCH
998,Outros,Voador,Outros Voador,BÍCEPS/Rosca no Cabo.gif,0.5385,SEM_MATCH
999,Desenvolvimento,Desenvolvimento De Ombro Alternada Em Pé,Desenvolvimento Desenvolvimento De Ombro Alternada Em Pé,OMBROS/Desenvolvimento de Ombro Alternada em Pé com Halteres.gif,0.7339,SEM_MATCH
1001,Elevação Lateral,Elevação Lateral Com Tronco,Elevação Lateral Elevação Lateral Com Tronco,OMBROS/Elevação lateral unilateral com cabo.gif,0.75,SEM_MATCH
1002,Desenvolvimento,Desenvolvimento Cubano,Desenvolvimento Desenvolvimento Cubano,OMBROS/Desenvolvimento de ombro com cabo.gif,0.7042,SEM_MATCH
1003,Elevação Lateral,Elevação Lateral Com Halteres Para Deltoides Posteriores,Elevação Lateral Elevação Lateral Com Halteres Para Deltoides Posteriores,OMBROS/Elevação lateral com halteres para deltoides posteriores deitado.gif,0.8175,SEM_MATCH
1004,Outros,Elevação Frontal Com Dois Braços,Outros Elevação Frontal Com Dois Braços,OMBROS/Elevação frontal com dois braços com halteres.gif,0.7619,SEM_MATCH
1006,Desenvolvimento,Desenvolvimento De Ombro Unilateral,Desenvolvimento Desenvolvimento De Ombro Unilateral,GIFS TREINAMENTO FUNCIONAL/Desenvolvimento de ombro unilateral com banda.gif,0.7292,SEM_MATCH
1007,Elevação Lateral,Elevação Lateral Com Halteres,Elevação Lateral Elevação Lateral Com Halteres,OMBROS/Elevação lateral unilateral com halteres.gif,0.8605,MATCH
1009,Desenvolvimento,Desenvolvimento Militar De Uma Mão,Desenvolvimento Desenvolvimento Militar De Uma Mão,OMBROS/Desenvolvimento militar de uma mão com kettlebell.gif,0.6869,SEM_MATCH
1010,Outros,Levantamento De Halteres De 3,Outros Levantamento De Halteres De 3,OMBROS/Levantamento de halteres de 3 maneiras.gif,0.7838,SEM_MATCH
1011,Desenvolvimento,Desenvolvimento De Ombros Atrás Do Pescoço,Desenvolvimento Desenvolvimento De Ombros Atrás Do Pescoço,OMBROS/Desenvolvimento de ombros atrás do pescoço sentado.gif,0.7778,SEM_MATCH
1015,Outros,Máquina Simulador,Outros Máquina Simulador,CARDIO ACADEMIA/Máquina Simulador Escada.gif,0.7083,SEM_MATCH
1018,Outros,Bicicleta Ergométrica,Outros Bicicleta Ergométrica,CARDIO ACADEMIA/Corrida na Bicicleta Ergométrica.gif,0.8,SEM_MATCH
1024,Outros,Elevação,Outros Elevação,GLÚTEOS/Glúteo Coice Na Alavanca.gif,0.5128,SEM_MATCH
1030,Panturrilha,Levantamento De Panturrilha Com Apoio E,Panturrilha Levantamento De Panturrilha Com Apoio E,PANTURRILHAS/Levantamento de panturrilha com apoio de banco.gif,0.8041,SEM_MATCH
1039,Agachamento,Agachamento Com Sustentação E Elevação,Agachamento Agachamento Com Sustentação E Elevação,GIFS TREINAMENTO FUNCIONAL/Agachamento com Sustentação e Elevação de Panturrilhas.gif,0.7308,SEM_MATCH
1040,Panturrilha,Levantamento De Panturrilha,Panturrilha Levantamento De Panturrilha,PANTURRILHAS/Levantamento de panturrilha com alavanca.gif,0.6835,SEM_MATCH
1041,Rosca,Rosca Concentrada Com Pegada Fechada,Rosca Rosca Concentrada Com Pegada Fechada,BÍCEPS/Rosca Concentrada com Pegada Fechada Sentado.gif,0.8372,SEM_MATCH
1043,Rosca,Máquina De Rosca,Rosca Máquina De Rosca,BÍCEPS/Máquina de rosca direta.gif,0.7111,SEM_MATCH
1045,Rosca,Rosca Inversa,Rosca Rosca Inversa,BÍCEPS/Rosca inversa com barra W.gif,0.5909,SEM_MATCH
1048,Rosca,Rosca Direta Com Cabo,Rosca Rosca Direta Com Cabo,BÍCEPS/Rosca Direta com Cabo deitado.gif,0.75,SEM_MATCH
1053,Rosca,Rosca Bíceps Alta,Rosca Rosca Bíceps Alta,BÍCEPS/Rosca bíceps com halteres.gif,0.6667,SEM_MATCH
1056,Outros,Extensão De Quadril Em Pé,Outros Extensão De Quadril Em Pé,GLÚTEOS/Extensão de Quadril com Cabo.gif,0.7333,SEM_MATCH
1058,Outros,Quatro,Outros Quatro,BÍCEPS/Rosca martelo.gif,0.5385,SEM_MATCH
1060,Outros,Ponte,Outros Ponte,GLÚTEOS/Quatro Apoios.gif,0.56,SEM_MATCH
1061,Glúteo,Glúteo Coice Na Máquina De Extensão,Glúteo Glúteo Coice Na Máquina De Extensão,GLÚTEOS/Glúteo Coice Na Máquina De Extensão De Pernas.gif,0.8046,SEM_MATCH
1062,Outros,Extensão De Perna Na Máquina Smith,Outros Extensão De Perna Na Máquina Smith,GLÚTEOS/Extensão de Perna na Máquina Smith Reversa.gif,0.8193,SEM_MATCH
1063,Outros,Elevação Pélvica Na Máquina De Extensão,Outros Elevação Pélvica Na Máquina De Extensão,GLÚTEOS/Elevação Pélvica na Máquina de Extensão de Pernas.gif,0.8211,SEM_MATCH
1064,Agachamento,Agachamento Na Máquina,Agachamento Agachamento Na Máquina,GIFS CALISTENIA/Agachamento Pistola na Caixa.gif,0.6774,SEM_MATCH
1066,Outros,Abdução Lateral Do Quadril,Outros Abdução Lateral Do Quadril,GLÚTEOS/Abdução Lateral do Quadril com Alavanca.gif,0.7222,SEM_MATCH
1067,Puxada,Puxada De Cabo,Puxada Puxada De Cabo,GLÚTEOS/Puxada De Cabo Ajoelhada.gif,0.6222,SEM_MATCH
1069,Glúteo,Glúteo Coice,Glúteo Glúteo Coice,GLÚTEOS/Glúteo Coice No Smith.gif,0.6,SEM_MATCH
1071,Outros,Crunch En Banco,Outros Crunch En Banco,GIFS ABDOMINAIS/Crunch en banco declinado.gif,0.6383,SEM_MATCH
1072,Outros,V-Up Com Bola,Outros V-Up Com Bola,GIFS ABDOMINAIS/Torção em Pé com Cabo.gif,0.6341,SEM_MATCH
1077,Outros,Torção Com Tronco,Outros Torção Com Tronco,GIFS ABDOMINAIS/Torção com Tronco Inclinado.gif,0.6667,SEM_MATCH
1079,Outros,Torção Com Cabo,Outros Torção Com Cabo,GIFS ABDOMINAIS/Torção em Pé com Cabo.gif,0.6977,SEM_MATCH
1080,Outros,Toques Nos Dedos Com O Corpo,Outros Toques Nos Dedos Com O Corpo,GIFS ABDOMINAIS/Toques nos Dedos com o Corpo deitado.gif,0.7887,SEM_MATCH
1083,Outros,Tesoura,Outros Tesoura,TRÍCEPS/Tríceps testa com barra.gif,0.5405,SEM_MATCH
1084,Outros,Toque,Outros Toque,BÍCEPS/Rosca martelo.gif,0.48,SEM_MATCH
1087,Prancha,Prancha Joelho Ao,Prancha Prancha Joelho Ao,GIFS ABDOMINAIS/Prancha joelho ao cotovelo.gif,0.6667,SEM_MATCH
1088,Prancha,Prancha Com Movimento,Prancha Prancha Com Movimento,GIFS ABDOMINAIS/Prancha com Movimento de Aranha.gif,0.7,SEM_MATCH
1090,Outros,Torção Com Barra,Outros Torção Com Barra,TRÍCEPS/Tríceps testa com barra.gif,0.6957,SEM_MATCH
1094,Prancha,Prancha De Frente Para A Prancha,Prancha Prancha De Frente Para A Prancha,GIFS ABDOMINAIS/Prancha de frente para a prancha lateral.gif,0.8,SEM_MATCH
1095,Outros,Máquina De Torção,Outros Máquina De Torção,GIFS ABDOMINAIS/Máquina de Torção Sentada.gif,0.6939,SEM_MATCH
1098,Prancha,Prancha Com Abertura De Pernas - Perna,Prancha Prancha Com Abertura De Pernas - Perna,GIFS ABDOMINAIS/Prancha com Abertura de Pernas - Perna Estendida.gif,0.8,SEM_MATCH
1099,Outros,Toque Nos Dedos Dos Pés Com Giro,Outros Toque Nos Dedos Dos Pés Com Giro,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Toque nos Dedos dos Pés em Pé.gif,0.7647,SEM_MATCH
1100,Outros,Meio,Outros Meio,BÍCEPS/Rosca martelo.gif,0.5833,SEM_MATCH
1102,Prancha,Prancha Lateral Com Flexão,Prancha Prancha Lateral Com Flexão,GIFS ABDOMINAIS/Prancha lateral com flexão do quadril.gif,0.7324,SEM_MATCH
1106,Outros,Extensão Com Roda,Outros Extensão Com Roda,GIFS ABDOMINAIS/Extensão com Roda Abdominal.gif,0.6667,SEM_MATCH
1107,Outros,Levantamento De Quadril Com Pernas Elevadas Em Banco,Outros Levantamento De Quadril Com Pernas Elevadas Em Banco,GIFS ABDOMINAIS/Levantamento de quadril com pernas elevadas em banco inclinado.gif,0.8595,MATCH
1109,Outros,Posição,Outros Posição,GLÚTEOS/Quatro Apoios.gif,0.5926,SEM_MATCH
1111,Abdominal,Máquina De Abdominal,Abdominal Máquina De Abdominal,GIFS ABDOMINAIS/Abdominal com Rolo Abdominal.gif,0.7586,SEM_MATCH
1113,Outros,Inclinação Lateral Em Pé,Outros Inclinação Lateral Em Pé,GIFS ABDOMINAIS/Inclinação Lateral em Pé.gif,0.8727,MATCH
1116,Outros,Máquina De Abdominais,Outros Máquina De Abdominais,GIFS ABDOMINAIS/Máquina de Abdominais Sentado.gif,0.7368,SEM_MATCH
1117,Abdominal,Máquina Abdominal,Abdominal Máquina Abdominal,GIFS ABDOMINAIS/Abdominal com Rolo Abdominal.gif,0.7636,SEM_MATCH
1121,Outros,Inclinação Lateral Com Peso Em Bola,Outros Inclinação Lateral Com Peso Em Bola,GIFS ABDOMINAIS/Inclinação Lateral com Peso em Bola de Estabilidade.gif,0.7527,SEM_MATCH
1122,Abdominal,Exercício De Vácuo Abdominal Em Quatro,Abdominal Exercício De Vácuo Abdominal Em Quatro,GIFS ABDOMINAIS/Exercício de vácuo abdominal em quatro apoios.gif,0.8172,SEM_MATCH
1124,Abdominal,Abdominal Infra No Solo Com Flexão,Abdominal Abdominal Infra No Solo Com Flexão,GIFS ABDOMINAIS/Abdominal infra no solo com flexão de joelho.gif,0.7727,SEM_MATCH
1127,Outros,Encolhimento,Outros Encolhimento,GIFS ABDOMINAIS/Encolhimento Reverso.gif,0.6154,SEM_MATCH
1128,Outros,Flexão De Joelho Com Bola,Outros Flexão De Joelho Com Bola,GIFS ABDOMINAIS/Flexão de Joelho com Bola de Estabilidade.gif,0.6849,SEM_MATCH
1129,Puxada,Elevação De Joelhos Com Puxada,Puxada Elevação De Joelhos Com Puxada,GIFS ABDOMINAIS/Elevação de Joelhos com Puxada de Pernas.gif,0.7792,SEM_MATCH
1134,Abdominal,Abdominal,Abdominal Abdominal,GIFS ABDOMINAIS/Abdominal com Rolo Abdominal.gif,0.8085,SEM_MATCH
1136,Outros,Elevação Em V,Outros Elevação Em V,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação em Pé.gif,0.6061,SEM_MATCH
